,track_id,track_name,artists,track_genre,popularity,tfidf_input
0,5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,"acoustic, j-pop, singer-songwriter, songwriter",73,acoustic j-pop singer-songwriter songwriter calm slow mainstream
1,4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,"acoustic, chill",55,acoustic chill sad slow mainstream
2,1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,acoustic sad slow mainstream
3,6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,acoustic,71,acoustic sad fast mainstream
4,5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic,82,acoustic sad medium charttoppers
5,01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,"acoustic, indie-pop",58,acoustic indie-pop calm medium mainstream
6,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",74,acoustic piano sad fast mainstream
7,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,"acoustic, rock",80,acoustic rock calm fast charttoppers
8,0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,acoustic,74,acoustic calm medium mainstream
9,7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,"acoustic, piano",56,acoustic piano angry slow mainstream
10,4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,acoustic,74,acoustic sad medium mainstream
11,5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,acoustic,69,acoustic sad medium mainstream
12,4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,"acoustic, chill",52,acoustic chill calm medium mainstream
13,0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,"acoustic, chill",62,acoustic chill sad slow mainstream
