,track_id,track_name,artists,track_genre,popularity,valence,energy,mood
0,5SuOikwiRyPMVoIQDJUgSV,Comedy,Gen Hoshino,"acoustic, j-pop, singer-songwriter, songwriter",73,0.715,0.461,calm
1,4qPNDBW1i3p13qLCt0Ki3A,Ghost - Acoustic,Ben Woodward,"acoustic, chill",55,0.267,0.166,sad
2,1iJBSr7s7jYXzM8EGcbK5b,To Begin Again,Ingrid Michaelson;ZAYN,acoustic,57,0.12,0.359,sad
3,6lfxq3CG4xtTiEg7opyCyx,Can't Help Falling In Love,Kina Grannis,acoustic,71,0.143,0.0596,sad
4,5vjLSffimiIP26QG5WcN2K,Hold On,Chord Overstreet,acoustic,82,0.167,0.443,sad
5,01MVOl9KtVTNfFiBU9I7dc,Days I Will Remember,Tyrone Wells,"acoustic, indie-pop",58,0.666,0.481,calm
6,6Vc5wAMmXdKIAM7WUoEb7N,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",74,0.0765,0.147,sad
7,1EzrEOXmMH3G43AXT1y7pA,I'm Yours,Jason Mraz,"acoustic, rock",80,0.712,0.444,calm
8,0IktbUcnAGrvD03AWnz3Q8,Lucky,Jason Mraz;Colbie Caillat,acoustic,74,0.669,0.414,calm
9,7k9GuJYLp2AzqokyEdwEw2,Hunger,Ross Copperman,"acoustic, piano",56,0.196,0.632,angry
10,4mzP5mHkRvGxdhdGdAH7EJ,Give Me Your Forever,Zack Tabudlo,acoustic,74,0.301,0.363,sad
11,5ivF4eQBqJiVL5IAE9jRyl,I Won't Give Up,Jason Mraz,acoustic,69,0.139,0.303,sad
12,4ptDJbJl35d7gQfeNteBwp,Solo,Dan Berk,"acoustic, chill",52,0.607,0.314,calm
13,0X9MxHR1rTkEHDjp95F2OO,Bad Liar,Anna Hamilton,"acoustic, chill",62,0.209,0.234,sad
14,4LbWtBkN82ZRhz9jqzgrb3,Hold On - Remix,Chord Overstreet;Deepend,acoustic,56,0.387,0.78,angry
15,1KHdq8NK9QxnGjdXb55NiG,Falling in Love at a Coffee Shop,Landon Pigg,acoustic,58,0.238,0.561,angry
16,6xKeQgzfjixSUld14qUezm,ily (i love you baby),Andrew Foy;Renee Foy,"acoustic, guitar",56,0.414,0.112,sad
17,4Yo0igmcoNyat1secaH0OD,At My Worst,Andrew Foy;Renee Foy,"acoustic, guitar",54,0.609,0.0841,calm
18,2qLMf6TuEC3ruGJg4SMMN6,Lucky,Jason Mraz;Colbie Caillat,acoustic,68,0.669,0.414,calm
19,6CgNoAbFJ4Q4Id4EjtbXlC,Photograph,Boyce Avenue;Bea Miller,acoustic,67,0.322,0.32,sad
20,3S0OXQeoh0w6AY8WQVckRW,I'm Yours,Jason Mraz,acoustic,75,0.712,0.444,calm
21,210JCw2LbYD4YIs8GiZ9iP,Demons,Boyce Avenue;Jennel Garcia,acoustic,63,0.569,0.351,calm
22,5TvE3pk05pyFIGdSY9j4DJ,Say Something,A Great Big World;Christina Aguilera,"acoustic, piano",70,0.0765,0.147,sad
23,0BUuuEvNa5T4lMaewyiudB,93 Million Miles,Jason Mraz,"acoustic, rock",0,0.515,0.454,calm
24,3Hn3LfhrQOaKihdCibJsTs,Unlonely,Jason Mraz,"acoustic, rock",0,0.754,0.667,happy
25,6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,"acoustic, rock",1,0.33,0.454,sad
26,5IfCZDRXZrqZSm8AwE44PG,Winter Wonderland,Jason Mraz,"acoustic, rock",0,0.664,0.309,calm
27,0dzKBptH2P5j5a0MifBMwM,If It Kills Me,Jason Mraz,"acoustic, rock",0,0.52,0.429,calm
28,5QAMZTM5cmLg3fHX9ZbTZi,Winter Wonderland,Jason Mraz,"acoustic, rock",0,0.664,0.309,calm
29,2qESE1ZeWly7I3YjyTXmXh,Winter Wonderland,Jason Mraz,"acoustic, rock",0,0.664,0.309,calm
30,3EQV1ZHtHvq9OnVRYIdbg3,Winter Wonderland,Jason Mraz,"acoustic, rock",0,0.664,0.309,calm
31,3ax0rfGb7exLtl02LL08U9,Winter Wonderland,Jason Mraz,"acoustic, rock",0,0.664,0.309,calm
32,1m5LC29RE52Bxy7hxvpOlL,All I Want For Christmas Is A Real Good Tan,Chord Overstreet,acoustic,0,0.564,0.455,calm
33,3H36x7buZdQD4687VmFrwY,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,0.202,0.206,sad
34,0xbMRcMFqxJq1Wa7tvWPtn,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,0.202,0.206,sad
35,6h061f44HZPj1OXO2nA45d,Party of One,Brandi Carlile;Sam Smith,"acoustic, folk",0,0.202,0.206,sad
36,62EwQLDw0dprDzuLwQ0sH1,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.18,0.153,sad
37,3lvo0I8c2qBJDLZWqExDgC,Throwing Good After Bad,Brandi Carlile,"acoustic, folk",0,0.316,0.0952,sad
38,1ae8XfBQ3fDEvmBjFaemGV,This Time Tomorrow,Brandi Carlile,"acoustic, folk",0,0.414,0.326,sad
39,0adVktNVJXPZfhQe6B1NO5,Lonely This Christmas,KT Tunstall,"acoustic, singer-songwriter, songwriter",0,0.18,0.153,sad
40,6sp6Vx3sv2l5qxPfbQkcyt,The Haves,Eddie Vedder,acoustic,0,0.326,0.519,angry
41,1WFVfVjCtbmdIv7j3Fa9iy,When You're Wrong,Brandi Carlile,"acoustic, folk",0,0.142,0.301,sad
42,0e5PAxSyZ5DWWVqKANHETz,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
43,1MLr9b1fOybO3MGiLy47Ys,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
44,6JGjevTaqr9J1xp7YvYUKF,"Speak Your Mind (From the Netflix Series ""We The People"")",Brandi Carlile,"acoustic, folk",0,0.498,0.666,angry
45,7Af2YlwMZryKOQiRfwMsD2,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
46,3RE5nHIVkC4KcA7snFaTKd,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
47,0JvkNRyq8Tmot9khpdtN0I,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
48,27gHtbsHClwimHFtKgFop4,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
49,1QBNBGeIRRGBnLhdlHbfI8,You and Me on the Rock,Brandi Carlile;Lucius,"acoustic, folk",0,0.725,0.686,happy
50,72xTsTouZ5nBmASX8k1XCW,Trampoline - Acoustic,Highland Peak,"acoustic, chill",46,0.308,0.2,sad
51,3ILmwMefYZoQh5Cf5jeuUQ,透明だった世界,Motohiro Hata,"acoustic, j-pop, j-rock, singer-songwriter, songwriter",61,0.56,0.914,happy
52,2DHDuADAHoUW6n0z80RLQF,Pieces,Andrew Belle,"acoustic, folk",60,0.298,0.652,angry
53,5JDcQAztvZTIkrWoZihgvC,A Drop in the Ocean,Ron Pope,"acoustic, piano",68,0.564,0.393,calm
54,2sYFi9xVSZ56WHKSY2fN1K,So Far Away - Acoustic,Adam Christopher,acoustic,52,0.407,0.331,sad
55,6xJOhSm4SvZwzy3uhWz26O,The Enemy,Andrew Belle,"acoustic, folk",62,0.273,0.89,angry
56,7lLKxcNeJtDTWVRKHovLEC,Build It Better,Aron Wright,acoustic,51,0.159,0.333,sad
57,25UzeaV47eDT44Fovve6xQ,Sleepwalking in the Rain,Chord Overstreet,acoustic,0,0.502,0.381,calm
58,4oa14QBfWRDfJy2agySy0L,Gravity,Sara Bareilles,acoustic,67,0.231,0.275,sad
59,2gRKq9rIC5i1zuxp06zJWH,What's Left of You,Chord Overstreet,acoustic,57,0.265,0.507,angry
60,08MFgEQeVLF37EyZ7jcwLc,Pano,Zack Tabudlo,acoustic,75,0.415,0.457,sad
61,6nXIYClvJAfi6ujLiKqEq8,Sky's Still Blue,Andrew Belle,"acoustic, folk",62,0.217,0.791,angry
62,7x4b0UccXSKBWxWmjcrG2T,And I Love Her,Kurt Cobain,acoustic,66,0.435,0.282,sad
63,6owKuyHxUqidcAA6fPKSyy,We Can't Stop,Boyce Avenue;Bea Miller,acoustic,64,0.36,0.347,sad
64,0wbmIfvndFV9VDvuUY1pYN,Always Be My Baby,Tim Halperin,acoustic,62,0.285,0.255,sad
65,3e5yu9MkIvQx17mm7LF6KY,Alone with You,Canyon City,"acoustic, folk",58,0.207,0.274,sad
66,6VwAh8Z1d5YKoSWoEaV4db,Making All Things New,Aaron Espe,"acoustic, folk",65,0.48,0.355,sad
67,2D4BSm5Z8Hq5zYbSgJwEOh,She Used To Be Mine,Sara Bareilles,acoustic,67,0.172,0.303,sad
68,7LwGBxB0h0CVmkOZxYKn0g,In My Veins - Feat. Erin Mccarley,Andrew Belle,"acoustic, folk",65,0.196,0.42,sad
69,0ZwdH0m32I8odedwvspYTh,I Don't Wanna Live Forever (Fifty Shades Darker),Tyler Ward,acoustic,44,0.264,0.403,sad
70,16dkWKIlBsfYTISCVuDs0w,A Drop In the Ocean,Ron Pope,"acoustic, piano",55,0.346,0.573,angry
71,3TwtrR1yNLY1PMPsrGQpOp,Superman (It's Not Easy),Five For Fighting,"acoustic, piano",70,0.125,0.416,sad
72,3Et4LKZLnXygPYfNdeB3D3,When the End Comes,Andrew Belle,"acoustic, folk",57,0.428,0.575,angry
73,2E9viCx0hJKNKNThd2MdGQ,You're Still The One,Bailey Jehl,"acoustic, chill",56,0.54,0.473,calm
74,0Zf1BPkkFAWGtVHeBwHHz4,Light Me Up,Ingrid Michaelson,acoustic,56,0.117,0.595,angry
75,38jy6kRlPt8z1GUS9WXeNh,93 Million Miles,Jason Mraz,acoustic,67,0.515,0.454,calm
